,hydrophobic_sasa,salt_bridges,packing_density,contact_order,ddG
0,60.06441,9,0.7565543071161048,0.018385181788071032,0.1876923076923077
1,59.981533,78,8.867617107942973,0.01586442876539618,0.55875
2,25.197617,40,8.989583333333334,0.13978895516992046,-1.3140909090909079
3,122.99212,250,8.997512437810945,0.005285304404964513,0.666666666666666
4,52.354843,189,9.48076923076923,0.012763501090349341,1.425238095238095
5,29.958612,52,4.065843621399177,0.05375970974261572,-1.1450000000000016
6,7.0179467,6,8.321428571428571,0.13335866261398174,0.5620945319740495
7,8.760116,13,8.838709677419354,0.08266129032258064,2.2204347826086965
8,62.759323,84,9.914141414141413,0.020780448463694534,4.300000000000005
9,15.071398,6,8.309278350515465,0.11200036172906493,0.9999999999999999
10,38.16824,46,9.995402298850575,0.055434822781535276,-0.11600000000000002
11,11.248379,36,9.630057803468208,0.08221782780651049,0.8702127659574468
12,11.67922,14,8.428571428571429,0.11509669369931379,0.2111111111111111
13,9.079779,7,8.918367346938776,0.13209935136845435,-4.0
14,12.537655,14,8.238805970149254,0.05439669124258227,-1.225
15,6.624504,14,9.846153846153847,0.044039929536112736,-0.6557142857142857
16,60.00025,5,2.1220338983050846,0.042995866542728876,0.7999999999999999
17,14.44533,31,9.005586592178771,0.03229582335727587,0.1876923076923077
18,57.509544,61,6.59344894026975,0.029389728513327683,0.19418250950570332
19,11.120635,16,9.01010101010101,0.1258034894398531,0.35875000000000007
20,30.707096,32,8.21195652173913,0.04621910323155574,1.5681308411214951
21,57.329033,86,10.024806201550387,0.0307002705673802,0.38997578692493945
22,4.875888,10,8.357142857142858,0.1286727456940223,0.5620945319740495
23,33.536102,40,9.210355987055015,0.03610336761831523,-0.6000000000000001
24,53.097916,61,7.653846153846154,0.04364716636197441,1.7845000000000002
25,11.121356,11,9.134615384615385,0.10987989705461823,3.492000000000001
26,94.98189,98,9.326470588235294,0.045669054259634884,-6.774285714285713
27,35.58746,53,9.860349127182046,0.0399464709805363,1.375
28,803.71783,1650,9.644915782907049,0.0065805285364231554,0.2583333333333035
